movieId,theatreId,totalSeats,availableSeats,screenName,language,startTime,endTime,format,availability
172677,1039754,321,321,AUDI 3,,2025-08-17T17:00:00,2025-08-17T17:25:00,2D,321
172677,1039754,321,319,AUDI 3,,2025-08-17T04:00:00,2025-08-17T04:25:00,2D,319
172677,1039754,321,291,AUDI 3,,2025-08-17T10:30:00,2025-08-17T10:55:00,2D,291
172677,1039754,150,150,AUDI 1,,2025-08-17T02:30:00,2025-08-17T02:55:00,2D,150
172677,1026890,596,84,Murali Cinemas,,2025-08-17T04:30:00,2025-08-17T03:30:00,2D,84
172677,1026890,596,84,Murali Cinemas,,2025-08-17T14:00:00,2025-08-17T13:00:00,2D,84
172677,1026890,596,81,Murali Cinemas,,2025-08-17T07:30:00,2025-08-17T06:30:00,2D,81
172677,1026890,596,80,Murali Cinemas,,2025-08-17T17:00:00,2025-08-17T16:00:00,2D,80
172677,1039879,635,98,Kamkaya,,2025-08-17T08:15:00,2025-08-17T09:00:00,2D,98
172677,1039879,635,106,Kamkaya,,2025-08-17T16:45:00,2025-08-17T17:30:00,2D,106
172677,54957,544,88,Vinayaka cinemas,,2025-08-17T07:30:00,2025-08-17T06:30:00,2D,88
172677,54957,544,94,Vinayaka cinemas,,2025-08-17T16:45:00,2025-08-17T15:45:00,2D,94
172677,54957,544,94,Vinayaka cinemas,,2025-08-17T13:30:00,2025-08-17T12:30:00,2D,94
172677,54957,544,93,Vinayaka cinemas,,2025-08-17T04:30:00,2025-08-17T03:30:00,2D,93
172677,9487,329,324,Screen 1,,2025-08-17T17:00:00,2025-08-17T17:00:00,2D,324
172677,9487,329,294,Screen 1,,2025-08-17T13:45:00,2025-08-17T13:45:00,2D,294
172677,9487,329,316,Screen 1,,2025-08-17T04:00:00,2025-08-17T04:00:00,2D,316
172677,9487,329,293,Screen 1,,2025-08-17T10:30:00,2025-08-17T10:30:00,2D,293
172677,52080,227,223,SCREEN 4,,2025-08-17T07:00:00,2025-08-17T07:45:00,2D,223
172677,52080,227,215,SCREEN 4,,2025-08-17T10:20:00,2025-08-17T11:05:00,2D,215
172677,52080,227,215,SCREEN 4,,2025-08-17T13:40:00,2025-08-17T14:25:00,2D,215
